10,#,0,0.000452114
10,#,1,0.00036137
10,#,2,0.000334857
10,#,3,0.000318427
10,#,4,0.000355937
10,#,0,0.000446465
10,#,1,0.000384363
10,#,2,0.000388275
10,#,3,0.000407626
10,#,4,0.000453462
10,#,0,0.000457329
10,#,1,0.000423747
10,#,2,0.000428012
10,#,3,0.000399553
10,#,4,0.000403967
10,#,0,0.000222611
10,#,1,0.00024202
10,#,2,0.000404635
10,#,3,0.000384063
10,#,4,0.000317129
100,#,0,0.00320702
100,#,1,0.00264333
100,#,2,0.00324033
100,#,3,0.0032432
100,#,4,0.0036253
100,#,0,0.00192374
100,#,1,0.00336714
100,#,2,0.00357098
100,#,3,0.00217882
100,#,4,0.00194198
100,#,0,0.00585879
100,#,1,0.00384233
100,#,2,0.00382907
100,#,3,0.00383585
100,#,4,0.00396544
100,#,0,0.00211498
100,#,1,0.00212002
100,#,2,0.00215821
100,#,3,0.00245392
100,#,4,0.00176218
1000,#,0,0.0505695
1000,#,1,0.052471
1000,#,2,0.052891
1000,#,3,0.0540207
1000,#,4,0.0545753
1000,#,0,0.0901203
1000,#,1,0.0913053
1000,#,2,0.0924057
1000,#,3,0.0939537
1000,#,4,0.0895012
1000,#,0,0.173232
1000,#,1,0.18065
1000,#,2,0.181826
1000,#,3,0.191008
1000,#,4,0.19241
1000,#,0,0.062489
1000,#,1,0.0655671
1000,#,2,0.0651722
1000,#,3,0.0651053
1000,#,4,0.0655056
10000,#,0,1.66153
10000,#,1,3.00963
10000,#,2,2.93236
10000,#,3,2.10333
10000,#,4,3.57361
10000,#,0,3.03754
10000,#,1,1.8494
10000,#,2,4.52216
10000,#,3,1.90721
10000,#,4,3.71801
10000,#,0,2.1121
10000,#,1,1.9491
10000,#,2,2.31289
10000,#,3,2.80964
10000,#,4,2.08006
10000,#,0,2.54009
10000,#,1,2.18351
10000,#,2,2.01313
10000,#,3,3.47595
10000,#,4,2.71546
100000,#,0,41.7363
100000,#,1,48.4104
100000,#,2,51.3428
100000,#,3,49.6182
100000,#,4,57.3448
100000,#,0,35.6219
100000,#,1,43.8211
100000,#,2,46.4958
100000,#,3,59.7385
100000,#,4,58.4517
100000,#,0,42.8739
100000,#,1,38.5917
100000,#,2,47.5084
100000,#,3,54.3474
100000,#,4,61.328
