10,0,0,8.3e-05,0.000161,2.1e-05
10,0,1,5.2e-05,0.000157,1.8e-05
10,0,2,5e-05,0.000185,2.3e-05
10,0,3,5e-05,0.000159,3.5e-05
10,0,4,5e-05,0.000159,1.9e-05
10,1,0,1.4e-05,3.1e-05,3e-06
10,1,1,8e-06,2.9e-05,3e-06
10,1,2,7e-06,3e-05,2e-06
10,1,3,7e-06,2.9e-05,3e-06
10,1,4,7e-06,2.9e-05,3e-06
10,2,0,1.3e-05,3.4e-05,4e-06
10,2,1,1.1e-05,3.4e-05,3e-06
10,2,2,9e-06,3.3e-05,4e-06
10,2,3,9e-06,3.3e-05,4e-06
10,2,4,9e-06,3.3e-05,4e-06
10,3,0,1.3e-05,3.6e-05,4e-06
10,3,1,1e-05,3.6e-05,3e-06
10,3,2,1e-05,3.5e-05,3e-06
10,3,3,1e-05,3.5e-05,4e-06
10,3,4,1e-05,3.5e-05,4e-06
10,4,0,1.1e-05,3.3e-05,3e-06
10,4,1,8e-06,3.2e-05,2e-06
10,4,2,7e-06,3.3e-05,2e-06
10,4,3,8e-06,3.2e-05,2e-06
10,4,4,7e-06,3.2e-05,2e-06
100,0,0,0.000519,0.008749,0.000118
100,0,1,0.000367,0.008114,0.000109
100,0,2,0.000337,0.007879,9.9e-05
100,0,3,0.000314,0.007436,0.000108
100,0,4,0.000324,0.006925,9.2e-05
100,1,0,0.000125,0.002387,3.5e-05
100,1,1,7.7e-05,0.002386,2.8e-05
100,1,2,8.1e-05,0.002394,2.7e-05
100,1,3,8.1e-05,0.002396,3.1e-05
100,1,4,7.9e-05,0.002395,3e-05
100,2,0,0.000111,0.002623,3.1e-05
100,2,1,0.000102,0.002623,3.2e-05
100,2,2,0.000101,0.002634,3.2e-05
100,2,3,9.8e-05,0.002633,3.3e-05
100,2,4,0.000101,0.00263,3.3e-05
100,3,0,0.000109,0.002683,3.2e-05
100,3,1,9.8e-05,0.002701,3.3e-05
100,3,2,9.7e-05,0.002691,3e-05
100,3,3,9.8e-05,0.002695,3.1e-05
100,3,4,9.5e-05,0.002688,3.3e-05
100,4,0,0.000114,0.002702,3.4e-05
100,4,1,9.7e-05,0.002696,3.5e-05
100,4,2,9.6e-05,0.002476,3.1e-05
100,4,3,9.1e-05,0.002421,3.3e-05
100,4,4,9.3e-05,0.002418,3.2e-05
1000,0,0,0.001316,0.132297,0.000289
1000,0,1,0.000917,0.136411,0.000349
1000,0,2,0.000944,0.137268,0.000365
1000,0,3,0.000959,0.139405,0.000384
1000,0,4,0.000932,0.139711,0.000426
1000,1,0,0.001243,0.132444,0.000259
1000,1,1,0.00092,0.13726,0.000402
1000,1,2,0.000899,0.137829,0.000339
1000,1,3,0.000906,0.148632,0.000433
1000,1,4,0.001053,0.160028,0.000412
1000,2,0,0.001189,0.153917,0.000302
1000,2,1,0.001021,0.158481,0.000375
1000,2,2,0.001054,0.15995,0.000399
1000,2,3,0.001047,0.161802,0.000444
1000,2,4,0.001043,0.162063,0.000424
1000,3,0,0.001243,0.151047,0.000337
1000,3,1,0.001075,0.155588,0.00038
1000,3,2,0.001109,0.157726,0.000545
1000,3,3,0.001126,0.165311,0.000427
1000,3,4,0.001168,0.166184,0.000423
1000,4,0,0.001065,0.130358,0.000287
1000,4,1,0.000954,0.134492,0.000344
1000,4,2,0.000942,0.135321,0.00034
1000,4,3,0.000936,0.13807,0.000394
1000,4,4,0.000927,0.139933,0.000408
10000,0,0,0.019524,4.83655,0.006424
10000,0,1,0.018328,4.54888,0.01124
10000,0,2,0.018143,4.82505,0.012982
10000,0,3,0.020447,4.87169,0.014545
10000,0,4,0.022398,4.83626,0.014832
10000,1,0,0.019475,4.69973,0.006725
10000,1,1,0.020371,5.25855,0.011166
10000,1,2,0.020155,5.50652,0.013436
10000,1,3,0.022602,5.30949,0.014705
10000,1,4,0.023388,5.66129,0.014624
10000,2,0,0.019484,4.98429,0.006384
10000,2,1,0.017485,5.24025,0.011672
10000,2,2,0.022569,4.99506,0.012546
10000,2,3,0.021932,5.71479,0.014067
10000,2,4,0.022268,5.64384,0.015052
10000,3,0,0.019523,4.83078,0.006222
10000,3,1,0.017642,5.37231,0.011126
10000,3,2,0.018618,4.92321,0.013288
10000,3,3,0.022656,5.30193,0.014127
10000,3,4,0.021373,5.56599,0.014235
